name	2016-05-20	2016-05-21	2016-05-22	2016-05-23	2016-05-24	2016-05-25	2016-05-26	2016-05-27	2016-05-28	2016-05-29	2016-05-30	2016-05-31	2016-06-01	2016-06-02	2016-06-03	2016-06-04	2016-06-05	2016-06-06	2016-06-07	2016-06-08	2016-06-09	2016-06-10	2016-06-11	2016-06-12	2016-06-13	2016-06-14
奶酪陷阱	13554	18519	17687	11812	13002	16991	27132	30575	35234	35228	23089	23709	21984	21896	23785	26023	26883	20801	21515	23725	26598	25199	23998	20612	17560	17194
秦时明月之君临天下	13494	16436	12538	6989	6140	5535	10310	12781	12087	8582	4881	4740	4261	6780	8540	9477	9185	6967	6183	7336	13639	13607	9725	7487	6239	5722
重生之名流巨星	13331	15956	13958	7822	7205	6991	6108	6225	7583	6350	3725	3638	3632	3338	4124	4942	4598	3565	6947	3815	3700	3043	2343			
疯狂动物城 英语版	2504	3536	4631	2834	2954	7781	1804	7063	8339	6239	3190	3574	2570	2117	2831	3533	3738	3010	3194	4041	4830	3945	3242	2700	1820	2003
大梦西游	13147	25608	17591	12784	9456	6940	5655	7553	9911	6057	4601	4889	4243	4171	4739	7882	6824	6083	4484	5904	6706	4909	3798	2326		
奥特曼	13085	24900	20922	9672	10135	9634	10522	14499	27050	22168	10524	10463	13191	11315	14677	24937	23461	13652	14053	17906	27887	26629	23242	12853	12184	12030
荒原第一季	13060	13736	12909	11628	11811	10243	6684	8332	9208	8971	8656	9410	9725	9550	8845	8484	8502	7989	9344	7748	7559	7046	6858	6700	6330	6249
僵尸	13008	26048	22760	12287	11745	11833	11793	14516	23698	20030	9921	10638	11763	11138	13785	21158	19738	12206	12629	14459	21929	21274	18624	12073	10980	10710
乡村爱情8	12548	14020	12979	10157	9948	9215	8681	8817	9101	8793	7033	7674	7848	7678	8404	8613	9367	8269	8921	8723	9115	9780	9626	9328	8204	8160
我的特工爷爷	12364	16428	14362	8538	8322	7401	7143	8417	9925	8350	4957	5036	5082	5035	5813	6636	6698	5453	5531	6016	7403	6826	5786	4699	4459	4565
全员加速中第二季	12191	34436	18773	11145	8794	7797	7534	12672	26478	13516	7453	8603	8227	6719	11803	23577	14047	11732	11081	12000	15361	17148	52061	17126	13327	10840
韩剧电视剧大全	12180	14913	12361	7722	5651	2125																				
谢文东4再战江湖	12109	13917	12142	7845	6712	6321	5866	5929	6648	5475	3803	3443	3374	3606	4138	4898	5196	4094	3914	4299	4974	4746	4614	3843	3424	3188
闪电侠	11976	11284	8926	4911	4707	6433	7110	6252	5748	4792	2701	2553	2621	2721	2998	3350	3265	2616	2303	2205	2585					
我是你的TFphone	11944	6116	6374	3185	2675	2235	1861	2900	3767	2456																
猎人	11811	18107	17646	10511	10173	10540	9422	8328	10584	9309	6622	6870	7359	6930	7857	9953	9651	7303	7689	7490	9401	8819	8249	6695	5751	5538
愤怒的小鸟	11693	20966	27947	12792	11985	15728	15258	15072	19159	16470	10130	9788	14534	12878	11840	13510	13009	10920	9240	9645	12679	12507	10083	7745	5763	5452
刘德华	11357	13363	14076	11395	12210	11864	11736	12243	12679	14337	11490	10855	9762	10340	10545	11355	12712	11180	10685	11345	10826	11674	11482	11842	12147	11321
奇幻森林	11345	15288	12139	7046	6385	6583	6511	7450	9036	7440	4617	4521	5063	4781	5642	6939	6574	4554	4638	5298	7068	6779	5836	4682	3819	3699
谢文东	11039	11986	10714	7191	6445	6684	6978	6808	8054	7244	5527	5236	4896	5142	5500	6785	6371	5364	5141	5617	6350	5979	5436	4564	3918	3935
