name	2016-05-20	2016-05-21	2016-05-22	2016-05-23	2016-05-24	2016-05-25	2016-05-26	2016-05-27	2016-05-28	2016-05-29	2016-05-30	2016-05-31	2016-06-01	2016-06-02	2016-06-03	2016-06-04	2016-06-05	2016-06-06	2016-06-07	2016-06-08	2016-06-09	2016-06-10	2016-06-11	2016-06-12	2016-06-13	2016-06-14
蝙蝠侠大战超人：正义黎明	4804	7396	5752	2842	2724	2564	2754	3440	4885	4042	2149	2162	2141	1956	2671	3784	3908	2732	2598	3090	3909	3489	3007	2231	2338	2582
星动亚洲第二季	4779	18075	5679	3171	2386	2028	1838	2666	7556	4452	1724															
生化危机	4769	7376	6328	3656	3599	3812	3981	5207	7431	6333	3525	3984	3954	3865	4878	6923	6353	5082	4782	5489	7282	6479	5634	4485	4063	4066
美国队长3内战	4767	6959	4958	2354	2297	1953	1924	2740	3883	2528	1576					2558										
金水桥边	4725	4473	5594	6025	6185	6335	6469	6642	6350	3520	2542	2013	1800	1699												
秦时明月	4709	6898	5136	2861	2675	2747	4028	4551	5678	4185	2304	2455	2519	3020	3719	4373	4659	3741	3352	3641	5579	5182	4472	3563	3202	3057
速度与激情	4641	6242	5386	3562	3298	3652	3610	4820	6455	5325	3747	3726	3405	3746	4520	5655	5766	4476	4779	5400	6018	5544	4949	3729	3761	3761
错了性别不错爱1	4608	5468	3680						2815																	
德云社成立20周年开幕庆典 2016	4529	5405	4475	3590	3434	3507	4578	7173	9943	8928	5870	1595	6102	6002	6949	8690	8723	7139	6923	7404	8722	8890	9117	7382	6402	6239
请回答1988	4513	5322	4970	3131	2880	3006	3049	2946	3169	2832	1843	2077	2107	2057	2501	3246	3346	2626	2823	2573	2760	2692	2476	2141		
熊出没之熊心归来	4490	8812	7889	2965	2344	2397	2501	3803	6406	5209	2456	2699	3733	2833	3702	6179	5659	3310	3186	4475	7045	6290	4814	2673	2257	1985
妈妈是超人2016	4479	10742	4795	2721	1717																		3110	2413	1838	
杨幂	4473	7181	6635	3780	4463	6565	5802	7621	11753	10551	6273	6687	6420	7178	7993	10152	9836	7363	7005	8166	9789	9426	7987	6754	5416	6287
郑恺	4469	6751	5919	3045	2953	3023	2480	2836	3266	3104	1652	1815	2046	1642	1857											
又吴海英	4433	3525	2933	2768	4315	4428	1964					3556	3512						3557	2097					2152	3585
勇者大冒险第二季	4419	3600						4583	3686	2475					4762	3576	2660			2080	2834	6433	5339	3480	2578	2194
来自星星的你	4402	5794	5847	4911	4564	4591	4752	6155	7416	6922	4178	4624	4486	4485	4980	5830	5600	4122	4311	5124	5777	5595	5028	4080	4207	4391
爱的阶梯	4395	11457	8380	5432	4660	4083	3913	3798	4417	3821	2396	2401	6359	4076	3657	3895	3270	2551	2233	2400	3037	2678				
美人	4384	7246	5809	3416	3449	3746	3767	4792	5562	5535	3325	3165	3404	3459	4012	5267	5158	3521	3862	4720	6343	6362	5268	4103	3611	3924
金瓶梅	4345	5822	5254	3625	3475	3856	3725	4821	6269	5556	3551	4450	3871	4351	4418	5493	5338	4308	4539	3489	4205	4628	4085	3383	3230	3118
最好的我们电视剧全集	4328	7153	6225	3201	2885	2647	2793	5090	7277	5838	3214	2980	2909	2837	3806	6081	6464	4379	3895	3480	4032	4345	4622	4211	2702	2621
范冰冰	4313	6143	5500	3216	2719	2814	2664	3510	4131	4257	2552	2561	2623	2611	3246	4153	4678	3633	3846	6142	7322	6510	5868	5315	4288	3593
美人鱼2016周星驰	4311	10289	5042	2413	2330	2095	2141	2978	5213	3331																
神战：权力之眼	4292	3649	3783	2246			1861								2235	2830										
吸血鬼日记	4292	4835	4383	3077	2945	2812	2880	2954	3143	3074	2062	2200	2164	2220	2509	2593	2722	2275	2155	2298	2598			2051	1870	9910
倾世皇妃	4259	4467	3679	2413	2069																					
赵丽颖	4240	7323	9061	4653	4051	4348	3645	4689	6332	6052	2899	3181	3478	3818	4853	6541	6204	5249	6743	7078	8365	8440	8216	6278	5575	5858
动画片大全	4219	6685	5951	3263	2990	2889	3443	4296	6146	5430	3028	3359	3805	2987	3774	5622	5632	3675	3432	4670	6319	7016	6260	2899	3370	3002
荒原	4213	4592	4322	3755	3578	3312	2430	3049	3144	3029	2730	3039	3003	2910	2763	2723	2891	2476	2971	2717	2654	2521	2425	2400	2265	2325
我们相爱吧	4181	6177	8215	9043	2954	2942	3251	3723	5218	8436	9806	5435	4390	3509	3686	5771	8872	10510	3831	4253	4586	4175	4193	3683	4259	3177
彭禺厶	4176	6710	5616	3233	3208	3263	3519	4414	7196	5833	3291	3496	4163	3784	4523	6660	6757	4204	4049	5305	6502	7195	5749	3674	3229	3529
花样姐姐第二季	4173	9001	22335	6956	4695	4011	2820	2917	5651	11215	3056	3036	2487	2125	2121	4469	9020	3219	2722	2298				1984		
聚会的目的	4170	5863	4881	2964	2863	3017	2595	3068	3339	3098	1915	1941	2040	2061	2397	3034	3248	2113	2151	2691	2983	3071	2577	2303	1957	2103
犬夜叉	4146	4795	5037	3304	3652	3502	3612	4532	5170	5047	3269	3584	3589	3691	4400	5275	5202	4082	4043	4517	4777	4899	4755	3922	3700	3665
愤怒的小鸟 大电影	4144	8694		3805	4553	5910	6117	6385	8038	6090	3680	4116	6378	5724	5669	6802	5740	4710	3735	5465	7357	6422	5219	3495	2589	2652
古装剧电视剧大全	4140	3585	3730	3465	2881	3313	3460	3762	4357	4043	2871	3197	3641	4051	4094	3952	4347	3666	4347	3675	4400	4786	5268	5428	4297	4420
侠岚	4130	4201	2692					4633	4065	2593				1729	4370	3602	2759	1817		2412	3410	4918	3391	1997	1705	
任达华	4104	3863	4229	4032	3554	3701	3627	3606	3640	4051	3538	3412	3368	3336	3755	3253	3401	3049	3211	3228	3603	3171	3814	3384	3248	3143
看见你的声音	4054	4668	7697	10372	3963	4134	4679	4568	6011	7847	9881	4821	4011	3621	3541	5039	7460	10528	3841	4249	3768	3467	4439	6381	8985	4708
恶作剧之吻1	4051	4146	3065	2140	1998	1892																				
快乐大本营2016	4045	10367	37425	4940	2582	2055	2680	3167	6969	23851	2782	2299	3152	3168	3348	4862	9239	2441	1997	2362	2736		4259	15082	2808	2554
龙八夷	4022	4117	4519	2617	2844	2709	2924	2952	3499	3301	2184	2214	2206	2479	2590	2854	3083	2390	2460	2781	3207	3322	3235	2903	2370	2485
应召女友	4002	5661	4225	2129	2100	1701																				
SUPER LOVERS	3992	3203	2846	1763	1962	2462	5150	3681	3151	2556	1684	1996	2619	6912	4913	3337	2850	2282	2385	3629	7363	4066	3159	2256	1902	1858
鸭王3	3975	5265	4240	2718	2832	2713	2480	2922	3383	2796	1638	1733	1650	1639	1885				1932		2657	2767	2397	2062	1760	1796
泰剧	3955	5346	5376	3564	3897	4475	6049	7321	8381	7723	4702	5881	5325	5970	8034	8939	9037	8606	14748	14577	14068	16587	13934	11801	12031	11112
Blood	3952	5507	4019	2115																						
李连杰全部电影	3950	4417	4935	4630	4123	4286	4476	4777	4703	4791	3839	3668	3595	3448	3831	4336	4393	3964	4193	4289	4231	4260	4298	4317	3960	3583
青春派	3944	4608	2937					2486	3279						2173	3268	3308	2747	3738	4051	4513	3829	3411	2350	2023	2544
周星驰电影全集	3925	5358	5377	4365	4395	4703	3998	4482	5217	4496	4012	3773	3600	3793	4096	4781	4986	3961	3834	4303	4899	4711	4241	3647	3608	3842
女总裁的贴身高手	3910	4666	6783	6113	7557	9192	11221	13503	15928	27528	29661	21941	16886	17483	19373	22565	23812	19160	21546	24000	34273	32579	27917	26878	25760	22353
无理的前进	3909	4919	3942	2094	2004	2054	1850	2174	2801	2848			1581	1630	1975	2600	2601	2068	2285	2656	2943	3232	2961	2003	1978	2223
性	3895	11307	10276	6940	6293	6672	6927	9900	15276	13573	8467	8720	8683	8997	9699	13044	13129	9669	9858	10417	12903	13853	10962	8266	7266	7137
杰森·斯坦森	3890	3752	3856	3421	3676	3627	3672	3993	4837	4305	3063	3351	3300	3202	3093	3518	3720	3232	3272	3103	3445	3342	3532	3351	2777	2972
变形金刚3	3883	6320	4730	3407	3573	3158	3622	4852	8142	6395	2808	2982	3372	2997	4255	7011	6507	4096	4223	5240	7235	6596	5248	3532	3011	2415
黄渤	3869	5300	6155	4603	4051	3881	3919	4106	5709	4358	3059	3336	2996	2992	3367	3313	4096	3789	3793	3636	3356	3717	3182	3036	2952	2991
三国演义	3867	4467	4407	3540	3432	3604	3600	4045	4339	4168	3109	3119	3111	3223	3181	3667	3676	3084	3134	3193	3666	3458	3189	2913	2730	2714
请回答1988电视剧	3829	4098	3895	2279	2428	2449	2627	2934	3265	3022	2002	2358	2285	2277	2797	3686	3928	3152	3286	3542	3795	3921	3900	3251	2619	2723
超脑48小时	3820	4568	3652	2064	1887																					
翻译官	3812	5212	5317	4658	15723	60711	48682	39422	38008	35786	35060	33298	31285	37776	37060	37235	33154	30252	29867	29235	27808	28993	29323	22074	19505	16842
我的吸血鬼男友	3809	4796	4072	3221	2765	2634	2086	2225			1674	1771		1633				1808								
泰坦尼克号	3802	5280	4397	2497	2442	2474	2438	3557	4713	3685	2098	2361	2321	2579	3195	3733	3797	3035	2747	3002	3546	3558	2861	2330	2254	2219
动漫	3783	6555	5627	2765	2422	2193	2557	3769	6785	6149	2339	2848	3211	2942	4051	5992	5628	3613	3177	3763	6274	6284	4977	2994	2329	2867
伪装者	3782	4054	4086	3045	3413	3893	3595	3304	3600	3716	3201	3585	3429	3495	3770	4409	5344	4716	4896	4632	4718	5060	5079	4525	4452	4599
欲奴	3774	36955	51130	41544	34519	52146	42146	22677	26673	24367	21992	18735	17439	18432	22056	29752	33101	28565	29034	42142	50255	51434	59440	82088	59772	50841
宫崎骏	3774	5186	4765	2757	3221	2989	3459	4779	5959	5382	2898	3315	3309	3921	4008	4945	5254	4362	4158	4603	5271	5100	4724	3614	3210	3539
钢铁侠3	3771	5577	4573	2424	2385	2143	2268	3370	4743	3578	1585	1946	1838	1639	2261	3557	3186	2187	2271	2936	3588	3105	2634			
星球大战7：原力觉醒	3767	6105	4222	2450	2304	2191	2094	3295	5276	3863	1760	1907	1998	1908	2821	4531	3908	2687	2572	3419	4971	4313	3830	2482	2246	2030
戏子韩国电视剧	3767	4401	3216																							
继承者们	3760	4601	4239	2271	1967		1888	2619	3518	2921						2369		2613	3031	3293	4275	3922	2716	2237	1858	1776
蝙蝠侠	3755	5705	5070	2654	2550	2445	2610	3606	5572	4596	2576	2786	2514	2611	3219	4356	4515	3554	3227	3720	4570	4063	3526	2954	2333	2339
越狱	3748	3451	3113	2806	2397	2083	2269						1554													
速度与激情6	3733	5224	4675	3284	3199	3239	2839	3449	4012	3685	2413	2360	2351	2484	2843	3616	3391	2669	3097	3291	3742	3386	3096	2428	2146	2511
霍建华	3730	4131	3418	2125	2015	1786	2007	2344																		
超能陆战队	3717	6245	4661	2171	1927	1978	2155	3753	6365	4715	1761	2099	2360	1994	3049	5077	4425	2664	2821	3662	5446	4754	3742	2023	1767	1878
殭电视剧全集	3708	4014	3494	1903	2270	1930	1751																			
行尸走肉第六季	3704	5237	5010	3066	2997	2977	3115	3064	3592	3446	2501	2627	2584	2442	2779	2918	3128	2728	2901	2754	3234	3094	2947	2638	2688	2615
美景之屋	3703	5465	4690	3157	3167	3315	3308	4453	5325	4939	2055	1817	1665	1713	1830	2388			1869	2053		2590	2355	2956	2712	3035
环太平洋	3682	5898	4316	1982	2057	1879	1896	2426	4344	2993				1640	2190	3409	3020	2038	2349	2868	4083	3416	2608			
看见味道的少女	3681	4078	4469	2555	2467	2700	2700	2841	3070	3050	1908	2062	1940	2167	2621	2841	2959	2174	2342	2529	2991	2931	2631	2292	2261	2325
大话西游之月光宝盒	3653	5297	4705	2925	2698	2706	2550	2434	3213	2539	1754	2038	2000	1768	2225	3015	2858	1890		2042	2564					
孙红雷	3641	3664	4092	3550	3655	3302	3660	3700	3806	3771	4306	5457	7109	9225	8575	9006	9906	9716	9200	9004	8578	8605	8618	7934	8749	9560
行尸走肉	3635	4864	4589	3098	2903	2971	3304	3329	3994	3761	2630	2647	2679	2543	2779	3297	3236	3010	2930	2868	3411	3493	2798	2516	2798	2722
网球王子	3623	4199	4326	2831	2912	2999	3232	3783	4632	4183	2781	3335	3245	3127	3500	3903	4322	3731	3594	3626	4730	4635	4546	3801	3522	3448
伦敦陷落	3620	3933	3610	2268	2193	2263	6863	10703	9822	8128	5406	4471	4775	4561	4380	5185	5129	4072	3823	4199	4100	3706	3357	2929	2533	2305
三打白骨精	3614	5924	4029	2169	2014	1760	1836	2684	4276	3141	2074	2814	2571	2162	3130	4738	4366	2083		2530	3689	3380	2590		1715	
恐怖片免费电影大全	3606	5792	5069	3303	4180	3799	3139	4374	5814	6047	3714	4194	4099	4536	4883	5369	5623	4160	4302	4095	4937	5285	4832	4144	4707	3757
征服	3595	3272	2997	2692	2396	2983	3341	3065	2853	2831	2858	3959	4461	4485	3961	4828	4861	4764	4722	4317	4937	6042	5935	5144	4803	5634
天上的约定	3593	4333	3476	2673	2476	2311	2215	2165			1988	2073	2029	2199	2298			1955	1984							
魔宫魅影	3592	3847	3078	1847																						
还珠格格	3586	3923	3474	2538	2315	2346	2164	2410	2659		1775	1929	1909	2033	2096	2692	2689	2118	2168	2181		2575	2460	1958	1954	2124
暮光之城	3582	5062	4265	2619	2810	2829	2825	3346	4695	4126	2177	2673	2630	2953	3426	4198	4431	3420	3415	3608	3735	3660	3364	2695	2491	2778
宋仲基	3581	7410	15435	8199	6536	5852	4577	5685	10698	9174	4971	4045	3716	3478	3764	5063	5051	3343	3292	4227	4558	4397	3947	3843	3220	3296
三打白骨精2016	3557	5459	4091	2491	2245	2258	2246	3163	4712	3564	2769	3656	3257	2918	3454	5254	5179	2597	2332	2940	3908	3669	3050	2455	2113	1900
分歧者	3539	5161	5064	3116	3351	5798	4779	4932	5245	4708	2673	2904	2368	1984	2198	2763	2615	1912	1906							
权利的游戏	3528			2546	3327	2808	2151				2092	1702	1561			2651	2962	2751	2647	2690					2838	1986
胡歌	3527	4564	4880	3730	3908	3846	3567	4050	4856	4827	4524	4579	3845	4045	4258	4689	5646	4370	4432	4373	4956	4979	5574	4719	4729	4794
恶作剧之吻2	3526	3993	3492	2716	2593	2576	2356	2351	2850	2618	1707	1781	1779	1703	1871											
王宝强	3516	4405	3849	2656	2928	2792	2894	3232	4330	3396	2199	3161	3821	3568	3983	4981	5009	3962	3986	4152	4881	4719	4662	3592	3320	3849
电视剧	3504	4108	4402	3647	3326	3064	4046	3466	4065	3796	2315	3208	2701	2985	3743	3159	3749	3220	2698	2893	3848	3999	4026	3450	3129	2684
周润发全部电影	3492	4285	4435	3632	3711	3315	3096	3508	3789	3833	3547	2959	2405	2995	3051	3085	3621	2854	2968	3087	3072	2859	2977	2806	2124	2812
怦然心动	3452	6187	5856	2938	2541	2469	2360	3551	4844	13841	3880	2918	3149	3626	3775	5632	5663	3926	3370	4615	4848	5046	4487	4213	3398	4306
小丈夫TV版	3428	6947	2659	6137	8390	3402	1994																			
狱中花	3425	4357	4195	3732	3157	3061	3284	2606		2972	2995	2291	2004	1811			2591	2610	3453	3300	2594	2497	2601	2497		
喜剧电影	3424	4357	4002	2529	2230	2350	2648	3575	4724	3683	2397	2345	2488	2780	2629	3453	3697	3416	3250	3608	4230	3581	3795	3152	3058	2506
粤语	3416	4248	3441	2813	2263	2322	2072	2358		3131	1986	2432	2642	2062	2154	2354	2867	2363	2619	2632		2471	2434	2779	2037	2253
道士出山3外星古墓	3415	6735	5395	2277	2198	2132	2330	3637	7277	5667	2253	2266	2568	2513	3605	6380	5490	3126	2881	3915	6512	5778	4355	2294	2175	1972
速度与激情7 国语	3409	4647	3887	2580	2452	2253	2293	2828	3785	2908	2059	2072	2000	2128	2490	3258	3133	2456	2487	2883	3529	3429	2904	2318	2202	2310
怦然星动	3404	5299	3756					2838	4825	4260	1567		1614	1672	2497	3909	3769	2610	2628	3370	4643	4098	3408	2485	2030	2117
寻龙诀	3371	5014	3859	2115	2014	1905	2359	3342	4578	3307	1485				1900	2956	3056	1938	1894	2587	3551	2940				
越狱第1季	3368	3055	2847	2470	2189	2127	2060	2308			1490	1594														
刘涛	3366	4278	4427	2521	2458	2491	2350	2234		2421	1630	1851	1822	1758			2475									
猫脸老太太	3352	4937	3692	2122	1858				2725																	
半熟少女	3347	4917	3578							2850																
鬼片大全恐怖片	3337	5357	5259	3968	3713	3430	3309	3595	6018	5459	3850	3395	3817	4721	4624	6079	6615	3946	3882	3982	6364	7026	6105	4172	4090	4166
一起来看流星雨	3332	3889	3929	2253	2247	2294	2137	2484	3448	3224	1714	1707	1798		2066	2948	2853	1961	2237	2430	3335	3092	2816			
愤怒的小鸟 第三季	3294	4923	8361	3023	3622	4171	3496	3900	5557	4657	2547	2384	2409	1954	3272	3869	3854	3031	2686	2442	3505	3257	2628			
美女孔心	3286	5185	6979	6027	4066	2697	3018	2792	3101	5033	5584	3994	2364				3109	2893	2327	5226	5940	6098	6355	6217	3401	2453
郭德纲	3280	3428	3543	3340	3478	3792	3880	3372	3319	3309	2802	3221	3088	2976	2695		3019	2656	2651	3001	2839	2969	2790	2566	2377	2747
哈利波特	3277	4809	4162	2475	2627	2628	2607	3815	5051	4562	2597	3843	3728	4049	4907	6231	7508	5627	6018	7100	8677	8687	7166	5737	4945	5039
东京食尸鬼	3264	6243	4572	2110	2058	2083	2252	3767	6333	4616	1660	1831	2257	2326	3272	5450	4634	3667	3046	4115	3382	5377	2270	2853	1984	2218
动画片电影大全	3258	5565	4316	2124	2570	2518	2772	3256	6178	5171	2346	2295	2705	2124	3225	5046	4760	3027	3143	4035	5410	5984	5004	2842	2394	2243
拜托了冰箱 中国版 第2季	3238	3137		2114	1768	2340	4470	2405	2903	2427	2004	2293	3504	7662	5541	4815	4056	3159	3127	5630	8748	5531	5227	3287	2935	2855
欢乐喜剧人 第二季	3235	3796	5126	3099	3229	3386	3193	3670	4889	4160	2268	2392	2423	2337	2600	3551	3526	2519	2796	2721	3569	3601	3461	2402	2267	2191
金星脱口秀	3233	4050					2065																			
一念向北	3232	3630	4107	3356	3239	3073	2851	3296	2932	2538			2003	2140	2138	2388		2148	5682	7671	8385	7019	4217	2169		
欲奴第一季	3224	39246	56731	15079	6866	5020	3844		2725					1667	2892	4545	5171	4544	4808	2254			2621	2811	2099	9045
X战警：天启	3198	4118	12813	11486	10524	10485	9023	9967	11782	11264	7373	7633	7866	9215	24051	35956	37098	25418	27455	28852	36800	35582	32277	27459	23808	22050
龙珠	3198	4775	4643	3017	2781	2878	2932	3494	4793	4557	2809	3185	3264	3317	3676	4373	4442	3813	3250	3803	4591	4136	4095	3279	2859	3413
年轻的母亲	3197	4450	3613	2291	2147	1757	1990	2720	2781	3402	2251	2347	2016	2689	2343	2687	2862	1931	2464	3058	3552	3214	2639	2635	2056	2826
吸血鬼日记 第一季	3188	3087	2991	2226	2403	2273	2279	2373	2774	2479	1645	1910	1761	1710	1936		2588	2164	2007	2196				2055	2042	2539
柠檬初上 未删减版	3167																									
极限挑战之皇家宝藏	3159	5006	5564	3700	2433	2169	2060	2809	4155	4039	2216	1900	2025	1977	2486	3411	3586	2268	2368	3118	3898	3579	3031	2254	2161	2082
搞笑电影大全	3154	5264	3717	2176	2145	2062	2330	2734	4531	3655	2208	1962	2408	2205	2732	4153	4298	2761	2874	3432	4313	4791	3921	2564	2692	2512
科幻电影大全	3151	4576	3948	2189	2414	2669	2396	3118	4331	3982	2460	2279	2684	2359	3673	4979	4294	2686	3369	3970	4514	5251	4408	3768	2458	3112
僵尸英雄之魔王与公主	3144	6489	5586	4399	3058	2638	2301	2815	4345	3218	1687	1661	1645	1748	1982	3007	2861									
校花的贴身高手	3140	5436	4035	2808	2725	2677	2549	3320	4402	3440	2011	1809	1677	1996	2501	3616	3354	2487	2676	3406	4044	3831	3297	2560	2077	2138
冰雪奇缘	3138	5090	4007	1949	1781	1865	2074	3089	5229	4415	1894	2056	2758	2357	3252	5126	7999	4488	4009	4849	7661	6292	4883	2837	2613	2726
韩剧电视剧大全最新	3130	3072	2767																							
柠檬初上电视剧全集	3127	6468		1946		1829																				
镇魂街	3115		2819	1935	1909	2672	4355	4197	4484	4115	2730	2848	2811	6871	5720	5129	4744	3769	3578	5410	11262	6932	5609	4833	4310	4102
色戒电影完整版	3107	5520	4441	2602	2359	2224	2490	3088	3848	3800	2703	2531	2557	2558	2582	3253	3118	2605	2488	2664	3280	3742	3695	2822	2850	2620
班淑传奇	3088	4162	3851	2242	1937	2406	2089		2947	2755	1593	1778	1896	1897	2407	3055	2933	2183	2396	2576	3464	3304	2925	2441	2257	2330
星球大战	3068	4697	3662	1983	1813	1816	1831	2639	4524	3194	1520	1953	2590	2409	3451	5226	5047	3414	3383	4052	5936	5648	4792	3348	2644	2458
花样男子	3066	3253	3040	2266	2029	1867	2041	2121																		
吸血鬼	3058	3766	3374	1969	2154	2147	2138		2985	2358	1520	1614		2008	1977	2391						2612				2396
妈妈的朋友	3018	3930	3227	2694	2193	2266	2531	3173	3864	3260	2189	2545	2267	2634	3059	3640	3735	3003	3435	4093	4716	5189	4101	3377	3129	4973
夜魔侠	3014	3014	2652	1824																						
刀剑神域	3007	4748	4522	2502	2605	2630	2591	3294	5207	5343	2885	3041	2823	2668	2947	4164	4514	3215	3119	3589	4376	4357	4003	2863	2813	2751
火线下的江湖大佬	2999	3028	3054	2252	2474	2673	2467	2373																		
极限挑战2016	2988	5292	6015	12905	5344	3422	2566				1762															
死神	2982	3823	3755	2579	2595	2650	2724	2968	4048	3851	2434	2746	2684	2790	2880	3762	3757	3015	2927	3330	3906	4015	3551	2872	2676	2915
我的校花妹妹3	2957	4284	3851	1938	1846			2484	3394	2751	1526					2478										
火影忍者剧场版：博人传	2933	4803	3428	1999	1695	1768	1878	2754	3750	3050	1627	1602	1771	1903	2271	3346	3331	2316	2239	2554	3538	2710				
善良的小姨子	2930	4815	4064	2784	2382	2556	2189	2500	3093	2712	1755	1771	1640	1951	2066	3061	3355	2595	2459	4754	5129	4417	4565	2952	2718	2584
回来吧大叔	2926	5241	4708	3175	2502	2349	2030																			
信号 Signal	2919	3205	3277	2102	2148	2003	1929									3506	4149	2938	2722	2702	2877	2926	2742	2294	1832	
年轻的小姨子	2892	3436		2574	2221																					
奶酪陷井	2887	3444	3348	2239	2412																					
2012	2866																									
爱的追踪	2861		3359	3768	4110	4936	5305	5716	7087	5974	5882	3923	2906	2423	1872											
花千骨	2855	3912	4123	2306	2172	2510	2234	2314	3409	2908	1626		1768	1964	2386	3426	3468	2587	2440	2758	4246	4443	4428	3260	2778	4085
刘诗诗	2853	3490	3181	1862	1720	1785																				
小丈夫未删减版	2852	8531	4083	3107	2899	1768																				
假面骑士	2842	4988	4286	2204	2035	2150	2346	3208	5280	4256	2003	2284	2356	2455	3020	4810	4520	3091	2652	3749	5548	4970	4040	2570	2326	2204
霜花店	2841	5034	3537	2138	1907	2093	2247	2709	3499	3189	2670	4511	3561	2467	2577	3014	3706	2405	2535	2525	3274	3318	3333	2361	1937	1947
死神来了	2840	3553	3055	2167	2020	2148	2325	2686	3120	2809	1840	2090	2218	2163	2463	2665	2736	2245	2258	2237	2600	2521	2389	2096	1839	3826
唐人街探案	2829	4273	3085	1859	1769			2535	3703	2719					2050	2784	2793	2072	1926	2259	3271	2920				
张国荣	2826	3775	3506	2143	2435	2345	2309	2734	2938	3016	1928	1910	1943	2098	2326	2434	2907	1959	2465	2344	3164	2952	2365		1706	1795
大发韩剧	2821	2968		1980																						2129
色情片	2817	4394	3615	2054	2122	1994	2131	2992	4419	3972	1713	1792	1910	1780	2271	3499	3355	2449	2441	3141	3819	4215	3210	2103		1861
旋风十一人	2806	4073	3007																							
芈月传	2784		2822	2291	2109	2218	2516	2848	3006	2794	2181	2141	2106	2326	2607	3051	3140	2936	2719	2885	3653	3752	4192	3787	3422	3578
一路上有你第2季	2782	5004	7705	3102	2777	2817	2781	2620	4070	11059	4405	3261	2659	2070			2679	1908								
杉杉来了	2781	3247	2782	2345	2427	2688	2205	2509			1674	1753	1676						1945			2588	2749	2123		1754
郑爽	2772	3396	3345	1868	2176	1919	1925	2967	3416	3747	2046	2380	2155	1961	2055	2860	3345	2426	2891	2799	3317	3383	2567	2198	1911	2245
笑傲江湖	2764	3860	3416	2522	2311	2447	2440	2639	3360	3039	2181	2184	2272	2392	2494	3302	3256	2480	2629	2552	2626	3205	3065	2566	2337	2291
小时代	2763	4970	4110	1878	2148	2223	2355	3050	4668	3904	1660	1927	1970	1912	2464	3849	3755	2870	2989	3769	4493	4440	3854	2933	2543	2923
欢乐喜剧人来疯 2016	2761	4264	3665	2312	2490	2393	2199	2483	3486	2994	1794	2007	1833	1836	1987	2824	2912	2254	2152	2120		2557	2706	1989	1734	1974
神盾局特工	2759																									
千与千寻	2733	4137	3410	1884	1827	2255	2226	3146	4399	3289	1798	1905	2182	2256	2833	3802	3474	2619	2540	2249						
我是你的TFphone全集	2726	3211																								
匆匆那年	2693	4014	3233	1781	1882	1910	2101	2631	3574	2985	1893	1916	1882	2018	2247	2884	3048	2363	2480	2980	3139	2891	2568	2125	2053	2106
蜡笔小新全集 国语版	2679	3527	3301	2214	2198	2198	2307	2485	3197	3284	1970	2190	2373	2225	2324	3017	3278	2345	2386	2405	3178	3101	2914	2222	1928	1963
雷神	2678	3907	3748	2072	2141	1991	1931	2608	3302	2760		1590			1837	2677	3124	2300	2267	2697	2659		2698		2413	2292
非诚勿扰	2673	4288	8958	4625	3396	2881	2519	2708	3570	6192	3772	2940	2441	2251	2417	3486	6854	3754	2990	2767	2680	2627	3309	5139	3004	2445
岳云鹏	2666			2085	2247	2335	2350	2568		2734	2051	2363	2043	2121	2116			4785	4400	3991	3578	3570	3272	2767	2695	2585
功夫	2660	4360	3211	1822	1869			2205	3216	2745			1670		1871	2871				2215	3092	2685	2368		1748	
鹿晗	2629	3687	2857				1891	2355	3400	2366						2374				2095	3044	2957	2452			
小丈夫电视剧24集	2629	3312		2206																						
天行九歌	2624						2523	3472	3881	3176	2180	2074	2019	4410	4893	3678	3039	2289	1948	2643	4341	4231	3649	3078	2501	2469
韩国电影好看爱情片大全	2619	3430	3248	2420	2873	2895	3336	3694	4259	3197	2514	2608	2327	2506	2737	3473	3291	2957	3011	3837	5806	6770	5363	4864	4512	4725
李易峰	2619	3920	3392			1731	2669	4593	5285	4332	1782	1745	1711	2090	2779	3860	4006	3140	3160	3871	4735	4947	3770	2819	2420	2710
杀了我治愈我	2619																									
绿巨人	2606	3505	3069	1929	1727	1875		2290	3217	2426							2431									
三国	2594	3335	3424	2698	2624	2741	2644	2781	3243	2865	2218	2206	2107	2288	2314	2946	2901	2508	2529	2603	3117	2892	2358	2168	1887	
上瘾	2566	3523	2796					2446	3130	2874	2142	1973	1710	1784	1886	2574	2871	2064	2466	3923	4590	4411	3360	2645	2256	2630
战神	2552	3256	3146	2553	2098	2363	2388	4133	3716	3470	2207	1734	1828	1728	1848											
茅山邪道养尸冢	2544																									
嘘禁止想象	2536	4007	2688			1935	1846		3050	2411						2448	2504	1878		2343	2575	2472	2277			
小黄人大眼萌	2533	4352	3327						3412	2833						2745	2519			2053	3106	2598				
小时代4：灵魂尽头	2531	4697	3556		1879	1705			3042	2659						2557	2720	1870		2475	2976	2803	2506			1756
Killmehealme	2530		2790																							
最新电影	2522																							1923		
透鲜滴星期天	2517	4474	6547	16854	8550	6213	6236	10895	11488	11832	13794	6306	4905	6871	7719	8774	10370	13458	6238	5120	4726	4326	6969	7436	16939	5472
废柴兄弟4	2510		2733	1767	2001	1996	2112	2509	3111	2410	1743	2098	1852	1998	2006	2428	2673	2297	2193	2150	2620				1849	
小丈夫电视剧	2510	3771		2340	4099	3656	2885	2839																		
美国电影大全	2509		2932	1773	1693																					
